estimator,dimension,entry,p=0.5_99%,p=0.5_95%,p=0.5_90%,p=0.5_75%,p=0.5_50%,p=1.57_99%,p=1.57_95%,p=1.57_90%,p=1.57_75%,p=1.57_50%,p=2.43_99%,p=2.43_95%,p=2.43_90%,p=2.43_75%,p=2.43_50%,p=100_99%,p=100_95%,p=100_90%,p=100_75%,p=100_50%
PML,k=2,b11,0.993,0.981,0.963,0.903,0.738,0.993,0.978,0.96,0.898,0.764,1,1,0.998,0.995,0.961,1,1,1,0.995,0.924
fastICA,k=2,b11,0.99,0.96,0.93,0.78,0.55,1,0.99,0.98,0.95,0.88,1,1,0.98,0.95,0.84,1,0.99,0.95,0.84,0.57
Distance Covariance,k=2,b11,1,1,1,1,1,1,0.99,0.98,0.96,0.91,1,1,0.98,0.93,0.84,1,1,1,1,1
CvM,k=2,b11,0.69,0.41,0.27,0.08,0.02,0.94,0.64,0.33,0.09,0.02,0.93,0.61,0.23,0.04,0.01,0.8,0.48,0.32,0.14,0.03
PML,k=2,b12,0.93,0.862,0.813,0.684,0.456,0.907,0.858,0.812,0.699,0.515,0.994,0.987,0.973,0.929,0.786,0.998,0.986,0.962,0.863,0.628
fastICA,k=2,b12,0.99,0.96,0.9,0.72,0.44,0.98,0.98,0.96,0.88,0.59,0.97,0.96,0.95,0.82,0.53,1,0.96,0.93,0.79,0.5
Distance Covariance,k=2,b12,0.99,0.95,0.91,0.81,0.64,1,0.98,0.96,0.86,0.58,1,0.99,0.96,0.83,0.55,1,0.98,0.93,0.79,0.51
CvM,k=2,b12,0.41,0.16,0.07,0.01,0,1,0.52,0.48,0.01,0,1,0.46,0.1,0,0,0.5,0.22,0.11,0.02,0
PML,k=2,b21,0.949,0.889,0.84,0.704,0.473,0.91,0.868,0.819,0.705,0.496,0.993,0.985,0.977,0.929,0.768,0.999,0.987,0.964,0.883,0.65
fastICA,k=2,b21,1,0.95,0.9,0.75,0.51,0.98,0.98,0.96,0.88,0.56,0.98,0.96,0.94,0.82,0.54,1,0.96,0.91,0.76,0.53
Distance Covariance,k=2,b21,0.99,0.98,0.92,0.8,0.53,1,0.98,0.96,0.85,0.62,1,0.98,0.96,0.84,0.59,0.99,0.98,0.94,0.76,0.48
CvM,k=2,b21,0.43,0.16,0.07,0.02,0,1,0.52,0.48,0.01,0,1,0.46,0.1,0,0,0.48,0.22,0.13,0.01,0
PML,k=2,b22,0.941,0.876,0.824,0.698,0.462,0.971,0.953,0.93,0.865,0.685,1,0.999,0.995,0.969,0.885,0.999,0.991,0.964,0.872,0.623
fastICA,k=2,b22,1,0.96,0.9,0.73,0.5,1,1,1,0.92,0.58,1,1,1,0.91,0.5,1,0.96,0.91,0.76,0.51
Distance Covariance,k=2,b22,1,1,1,1,0.99,1,0.99,0.98,0.93,0.75,1,0.99,0.97,0.9,0.67,1,1,0.99,0.96,0.8
CvM,k=2,b22,0.43,0.16,0.07,0.02,0,1,0.71,0.57,0.02,0,1,0.68,0.12,0,0,0.46,0.22,0.12,0.01,0
PML,k=3,b11,0.974,0.944,0.921,0.812,0.561,0.963,0.937,0.905,0.793,0.622,0.985,0.98,0.969,0.923,0.792,1,0.988,0.965,0.868,0.627
fastICA,k=3,b11,0.99,0.95,0.89,0.68,0.43,1,1,0.98,0.84,0.56,1,1,0.98,0.75,0.48,1,0.95,0.9,0.75,0.52
Distance Covariance,k=3,b11,1,1,1,0.88,0.67,1,1,0.76,0.26,0.11,1,1,0.65,0.2,0.08,1,1,0.99,0.69,0.49
CvM,k=3,b11,0.98,0.87,0.76,0.55,0.25,1,1,1,0.56,0.04,1,1,0.99,0.45,0.07,1,0.93,0.81,0.45,0.04
PML,k=3,b12,0.925,0.852,0.773,0.617,0.398,0.921,0.869,0.824,0.718,0.509,0.988,0.965,0.953,0.896,0.733,0.996,0.983,0.963,0.865,0.661
fastICA,k=3,b12,1,0.95,0.9,0.7,0.44,0.92,0.9,0.88,0.8,0.56,0.89,0.84,0.8,0.7,0.48,0.99,0.96,0.93,0.77,0.5
Distance Covariance,k=3,b12,0.95,0.94,0.92,0.88,0.69,0.95,0.89,0.83,0.65,0.33,0.97,0.9,0.84,0.6,0.25,1,0.9,0.84,0.8,0.66
CvM,k=3,b12,0.98,0.88,0.77,0.56,0.28,1,1,0.83,0.49,0.07,1,0.99,0.81,0.36,0.04,0.99,0.89,0.78,0.42,0.06
PML,k=3,b21,0.971,0.935,0.896,0.756,0.514,0.937,0.913,0.88,0.782,0.612,0.974,0.955,0.937,0.896,0.758,0.999,0.99,0.976,0.909,0.685
fastICA,k=3,b21,1,0.96,0.9,0.73,0.47,0.99,0.93,0.9,0.81,0.55,0.97,0.91,0.87,0.73,0.48,1,0.95,0.91,0.78,0.52
Distance Covariance,k=3,b21,0.98,0.94,0.93,0.87,0.77,0.99,0.94,0.9,0.79,0.54,0.99,0.96,0.92,0.81,0.51,1,0.99,0.88,0.8,0.69
CvM,k=3,b21,1,0.96,0.82,0.59,0.09,1,0.98,0.9,0.66,0.26,1,1,0.86,0.48,0.13,0.99,0.93,0.84,0.44,0.04
PML,k=3,b22,0.919,0.835,0.77,0.615,0.393,0.963,0.921,0.881,0.763,0.55,1,0.992,0.987,0.95,0.818,0.995,0.978,0.954,0.824,0.58
fastICA,k=3,b22,1,0.96,0.91,0.74,0.5,1,1,0.99,0.84,0.59,1,1,0.98,0.84,0.56,1,0.96,0.9,0.76,0.53
Distance Covariance,k=3,b22,1,1,1,0.96,0.85,1,1,0.89,0.45,0.23,1,1,0.84,0.36,0.18,1,1,0.99,0.86,0.72
CvM,k=3,b22,0.99,0.91,0.82,0.63,0.09,1,0.94,0.79,0.55,0.52,1,0.97,0.78,0.51,0.28,1,0.95,0.83,0.34,0.02
